croatia1941 1941 1943
croat_bosnia 1941 1943
italian_kosovo 1941 1942
yugoslavia1918 1918 1940
ysl_montenegro1918 1918 1940
ysl_bosnia1918 1918 1940
ysl_croatia1918 1918 1940
ysl_kosovo1918 1918 1940
aut_hungary1867 1867 1917
albania1918 1918 1938
aut_croatia1867 1867 1917
aut_bosnia1878 1878 1917
aut_montenegro 1915 1917
aut_serbia 1915 1917
aut_kosovo 1915 1917
aut_albania 1915 1917
montenegro1878 1878 1914
serbia1878 1878 1914
serbian_kosovo1912 1912 1914
albania1912 1912 1914
ott_kosovo1389 1389 1389
ott_albania1468 1468 1516
ott_serbia 1521 1877
ott_bosnia1463 1463 1516
aut_hungary 1814 1865
aut_croatia 1814 1865
aut_croatia1806 1806 1809
aut_hungary1806 1806 1813
aut_hungary1691 1691 1805
aut_croatia1526 1526 1647
ott_hungary 1526 1690
hungary894 894 1525
hung_croatia1097 1097 1376
aut_croatia1866 1866 1866
aut_hungary1866 1866 1866
fr_croatia 1810 1813
fr_ragusa 1805 1809
ragusa 1684 1804
hung_serbia 1404 1520
serbia1180 1180 1403
bosnia1377 1377 1462
albania1371 1371 1467
serbian_albania 1347 1370
arberia 1190 1245
nicaean_albania 1246 1260
byz_albania 1261 1346
byz_serbia1018 1018 1104
croatia845 845 1096
bulg_serbia 924 1017
serbia850 850 923
hung_croatia1377 1377 1525
bulg_transilvania 805 893
byz_serbia1139 1139 1179
khazars 552 964
ott_bosnia1517 1517 1877
ott_albania1517 1517 1911
ott_kosovo1517 1517 1911
ott_kosovo1461 1461 1516
ott_kosovo1453 1453 1460
ott_kosovo1428 1428 1452
ott_kosovo1421 1421 1427
ott_kosovo1414 1414 1420
ott_kosovo1402 1402 1413
ott_kosovo1398 1398 1401
ott_kosovo1392 1392 1397
ott_kosovo1390 1390 1391
ott_bulgaria1517 1517 1877
ott_bulgaria1461 1461 1516
ott_bulgaria1453 1453 1460
ott_bulgaria1428 1428 1452
zunghar1680 1680 1754
mongolia 1921
ch_mongolia 1912 1920
qing_mongolia1755 1755 1911
qing_mongolia1697 1697 1754
mongol1610 1610 1696
zunghar1610 1610 1679
kashgar1514 1514 1679
mongol1510 1510 1609
