cape_verde 1975
tunisia 1956
algeria 1962
morocco 1956
w_sahara 1976
sudan1956 1956 2010
uar 1958 1970
fr_algeria 1960 1961
sp_sahara 1885 1975
fr_n_africa1956 1956 1959
sp_morocco1912 1912 1955
fr_n_africa1944 1944 1955
br_libya 1941 1950
fr_libya1944 1944 1950
fr_libya1943 1943 1943
ital_libya 1941 1942
fr_n_africa1943 1943 1943
fr_n_africa1942 1942 1942
br_n_africa 1942 1942
germ_n_africa 1942 1942
fr_n_africa1940 1940 1941
fr_n_africa1830 1830 1903
ital_libya1912 1912 1918
egypt1922 1922 1957
br_sudan1898 1898 1915
br_egypt 1882 1921
ott_libya1543 1543 1911
morocco1666 1666 1911
sudan1882 1882 1897
ott_egypt1801 1801 1881
ott_algeria1574 1574 1829
sp_oran1589 1589 1791
ott_egypt1798 1798 1800
fr_egypt1798 1798 1800
sennar 1504 1820
ott_sudan 1821 1881
ott_egypt1517 1517 1797
br_tangier 1662 1683
saadi1554 1554 1665
prt_tangier1640 1640 1661
sp_tangier1589 1589 1639
alodia 599 1503
sp_oran1508 1508 1588
sp_tangier1580 1580 1588
prt_tangier1470 1470 1579
ott_algeria1543 1543 1573
hafsid1488 1488 1573
tlemcen1488 1488 1542
ott_algeria1525 1525 1542
mamluk1250 1250 1516
wattasid 1465 1553
hafsid1423 1423 1487
marinid1258 1258 1464
hafsid1229 1229 1422
tlemcen1237 1237 1487
makuria700 700 1396
ayyubid1174 1174 1249
almohad1250 1250 1257
marinid1250 1250 1257
almohad1237 1237 1249
almohad1229 1229 1236
almohad1152 1152 1228
mosulian_egypt 1171 1173
almohad1151 1151 1151
zirid1048 1048 1151
almohad1150 1150 1150
hammadid1048 1048 1150
almoravid1034 1034 1081
almohad1125 1125 1149
fatimid972 972 1170
buyid_egypt946 946 971
fatimid927 927 971
fatimid909 909 926
idrisid788 788 926
tahert778 778 908
abbasid_egypt944 944 945
abbasid_egypt905 905 943
egypt868 868 904
makuria350 350 699
nobatia350 350 699
byz_egypt628 628 641
erm_egypt627 627 627
sassanid_egypt617 617 626
erm_egypt533 533 616
erm_egypt395 395 532
rm_egypt273 273 394
meroe -270 349
palmyran_egypt 269 272
rm_egypt30m -30 268
egypt300m -300 -31
mauretania106m -106 -33
mauretania -250 -107
numidia202m -202 -107
numidia_west -250 -203
numidia_east -250 -203
kush666m -666 -271
diadochian_egypt -322 -301
alex_egypt -331 -323
persian_egypt343m -343 -332
egypt404m -404 -344
persian_egypt525m -525 -405
egypt654m -654 -526
assyrian_egypt -666 -655
egypt716m -716 -667
egyptian_kush716m -716 -667
kushan_egypt719m -719 -717
kush1020m -1020 -717
sais727m -727 -717
leontopolis -818 -717
kushan_egypt727m -727 -720
egypt727m -727 -720
egypt747m -747 -728
herakleopolis -747 -728
hermopolis -747 -728
egypt818m -818 -748
egypt942m -942 -819
egypt1079m -1079 -943
tanis -1079 -943
egypt1550m -1550 -1080
nubia1566m -1566 -1526
egyptian_nubia1079m -1079 -1021
egyptian_nubia1525m -1525 -1080
egypt1785m -1785 -1551
hyksos1600m -1600 -1551
hyksos1655m -1655 -1601
xois1655m -1655 -1601
nubia3500m -3500 -1567
nubia_state -1620 -1567
xois1785m -1785 -1657
egypt2037m -2037 -1786
egypt2133m -2133 -2038
menphis2184m -2184 -2038
egypt3500m -3500 -2185
br_sudan1916 1916 1955
darfur1882 1882 1915
darfur1614 1614 1874
caliph_egypt 642 660
umayyad_africa 669 749
umayyad_egypt 661 749
abbasid_africa750 750 777
abbasid_egypt750 750 818
abbasid_africa778 778 787
abbasid_africa788 788 818
abbasid_africa819 819 867
abbasid_egypt819 819 867
abbasid_africa868 868 908
fatimid_africa 972 1047
byz_africa628 628 669
erm_africa 533 627
vandals435 435 532
wrm_africa 395 434
vandals409 409 434
ital_libya1919 1919 1927
libyan1543 1543 1844
libyan1000m -1000 1542
cyrene -630 -512
proto_berbers -3000 -1001
carthage -825 -146
rm_africa145m -145 -107
rm_africa106m -106 -32
rm_africa32m -32 394
berbers250m -250 1033
garamantes -1000 668
libyan669 669 1542
berbers1000m -1000 -251
almoravid1082 1082 1149
fr_n_africa1904 1904 1939
berbers1034 1034 1081
senusiyya 1845 1918
s_sudan
fr_reunion1679 1679 1767
ital_libya1928 1928 1940
almoravid_ghana1082 1082 1086
oman_zanzibar1737 1737 1746
