bangladesh 1971
india 1947
pakistan 1947
nanda450m -450 -323
indo_aryan -1500 -451
magadha650m -650 -451
indus_valley -2500 -1501
bhutan 1616
india
ghaznavids1035 1035 1148
ghaznavids1030 1030 1034
gupta341 341 353
sri_lanka 1972
maldives 1965
ceylon 1948 1971
br_maldives 1887 1964
br_ceylon1815 1815 1947
maldives1573 1573 1886
br_ceylon1796 1796 1814
kandy 1590 1814
nl_ceylon 1658 1795
prt_ceylon1640 1640 1657
sp_ceylon1589 1589 1639
sp_ceylon1580 1580 1588
prt_ceylon1505 1505 1579
ceylon1070 1070 1589
prt_maldives 1558 1572
cholan_ceylon1017 1017 1069
cholan_ceylon993 993 999
anuradhapura993 993 1016
anuradhapura -377 992
ceylon_lands -3000 -378
sp_goa1580 1580 1588
sp_goa1589 1589 1639
prt_goa1640 1640 1960
cholan_ceylon1000 1000 1016
abb_sind819 819 860
abb_multan819 819 860
fr_chandannagar1768 1768 1793
kannaujian_nepal735 735 739
kashmirs_kannauj750 750 759
mug_mysore1710 1710 1719
