syria 1961
greece 1944
turkey 1922
cyprus 1974
n_cyprus 1983
lebanon 1945
israel 1948
palestine 1948
jordan 1946
iraq 1945
iran 1945
kuwait 1961
saudi_arabia 1932
bahrain 1971
qatar 1971
emirates 1971
oman 1971
yemen 1990
azerbaijan 1991
armenia 1991
georgia 1991
turk_kurds 1922
syr_kurds 1961
germ_mani1943 1943 1943
ital_mani1941 1941 1942
gr_mani1864 1864 1940
gr_mani1829 1829 1863
ott_kurds1517 1517 1722
ott_mani1517 1517 1828
ott_mani1485 1485 1516
ott_mani1461 1461 1484
ott_mani1460 1460 1460
byz_mani1453 1453 1459
byz_mani1348 1348 1431
byz_mani1261 1261 1347
antioch 1098 1267
byzantium1348 1348 1431
npl_peloponnese 1282 1431
sic_peloponnese 1266 1281
achaea1223 1223 1265
mong_anatolia1259 1259 1261
mong_kurds1259 1259 1261
mong_persia1259 1259 1261
mong_georgia1259 1259 1261
nicaea1204 1204 1260
latin_empire1223 1223 1260
mong_kurds1243 1243 1258
maml_kurds1250 1250 1258
abbasid1190 1190 1257
mong_persia1231 1231 1258
mong_georgia1243 1243 1258
mong_anatolia1243 1243 1258
mong_trabzon1259 1259 1261
mong_trabzon1243 1243 1258
georgia1194 1194 1242
trabzon1204 1204 1242
rum1092 1092 1242
khwr_persia1217 1217 1230
azerbaijan1140 1140 1230
nicaean_mani 1259 1260
achaean_mani 1223 1258
latin_mani1204 1204 1222
latin_empire1204 1204 1222
ayub_arabia1174 1174 1249
ayub_kurds1174 1174 1249
khwr_persia1205 1205 1216
kerman1140 1140 1216
fars1140 1140 1216
ayub_n_kurds 1207 1242
ahlat1100 1100 1206
khorasan1095 1095 1204
byzantium1139 1139 1203
byz_mani1139 1139 1203
georgia1008 1008 1193
shirvan1140 1140 1193
seljuq1127 1127 1139
mosul1128 1128 1173
byz_cilicia1159 1159 1168
cilicia1145 1145 1158
mosulian_kurds1149 1149 1173
mosulian_kurds1128 1128 1148
edessa1098 1098 1148
mosul1127 1127 1127
damascus1098 1098 1173
ayub_yemen1174 1174 1249
yemen819 819 1173
aleppo1095 1095 1127
seljuq_kurds1100 1100 1126
mosulian_kurds1127 1127 1127
seljuq1095 1095 1126
trabzon1126 1126 1138
byz_cilicia1138 1138 1138
cilicia1080 1080 1137
byzantium1105 1105 1138
trabzon1105 1105 1106
byz_trabzon1107 1107 1125
seljuq_kurds1098 1098 1099
byzantium961 961 1104
byz_mani1105 1105 1138
byz_mani961 961 1104
seljuq1140 1140 1189
seljuq_kurds1095 1095 1097
syria1095 1095 1097
seljuq_kurds1073 1073 1091
seljuq1092 1092 1094
seljuq1035 1035 1091
armenia884 884 1044
seljuq_kurds1070 1070 1072
byz_kurds961 961 1072
mosul932 932 1069
seljuq_kurds1055 1055 1069
buyid_kurds1052 1052 1054
seljuq_kurds1052 1052 1054
buyid934 934 1054
seljuq_persia1092 1092 1094
seljuq_persia1055 1055 1091
buyid_kurds946 946 1051
ghaznavids1035 1035 1148
ghaznavids1030 1030 1034
mazanderan946 946 1029
ghazhavids1008 1008 1029
vaspurakan 907 1020
abkhazia786 786 1007
aleppo944 944 1002
ghaznavids997 997 1007
samanid900 900 933
abbasid_cyprus 946 964
byzantium826 826 960
crete826 826 960
byz_mani826 826 960
abbasid944 944 945
abbasid868 868 943
abb_kurds932 932 943
abb_kurds868 868 931
samanid875 875 899
sistan861 861 899
samanid934 934 996
abb_persia868 868 874
abb_persia861 861 867
abbasid819 819 867
abb_persia819 819 860
byzantium628 628 825
byz_mani628 628 825
abb_kurds819 819 867
abbasid750 750 818
abb_persia750 750 818
abb_kurds750 750 818
byz_kurds826 826 960
byz_kurds750 750 825
umayyad_kurds 661 749
umayyad 661 749
umayyad_persia669 669 749
caliphate636 636 660
sassanid602 602 650
caliph_kurds645 645 660
byz_curds628 628 644
caliph_kurds642 642 644
sassanid_kurds623 623 641
caliphate632 632 635
ghassanids 220 635
mecca630 630 631
arabs499 499 631
mecca499 499 629
medina622 622 629
erm_kurds623 623 627
sassanid_kurds602 602 622
sassanid_kurds226 336 601
sassanid226 226 601
lakhmids 267 601
himyar280 280 569
lazica 499 564
eastern_roman_emp 395 627
arabs1000m -1000 498
erm_mani 395 627
rm_mani147m -147 394
rm_corduene114 114 335
himyar -110 279
saba950m -950 279
bosporus 255 344
kushan80 80 340
palmyra 268 272
sassanid206 206 225
parthia20 20 225
armenia62 62 113
armen_corduene62 62 113
nabatea -168 105
rm_corduene19m -19 61
rm_armenia19m -19 61
kushan29 29 79
indo_parthian 20 79
western_roman_emp 395 475
rome271m -271 394
rm_greece46 46 394
rm_greece66m -66 45
